ID,Nome da música,Artista,Duração em segundos,Gênero,Extra
0,Iris,The Goo Goo Dolls,290,Rock,1998
1,No Woman No Cry,Bob Marley & The Wailers,226,Reggae,1974
2,Flight Of The Stars,ZAYN,201,Pop,2021
3,Take Care,Beach House,348,Indie,2010
4,Come Here,Kath Bloom,171,Folk,2015
5,I Wanna Love,Kath Bloom,176,Folk,2015
6,Lanterna dos Afogados,Os Paralamas do Sucesso,190,Rock,1989
7,Fade Into You,Mazzy Star,296,Alternative,1993
8,Tola Foi Você,Angela Rô Rô,157,MPB,1980
9,True Colors,Cyndi Lauper,228,Pop,1986
10,Lovin You,Minnie Riperton,223,Soul,1975
11,Time After Time,Cyndi Lauper,246,Pop,1984
12,Every Breath You Take,The Police,254,Rock,1983
13,Somebody Else,The 1975,348,Alternative,2016
14,Wonderful Tonight,Eric Clapton,225,Rock,1977
15,Listen To Your Heart,Roxette,328,Pop,1988
16,Unchained Melody,The Righteous Brothers,218,Soul,1965
17,Stand By Me,Ben E. King,175,Soul,1961
18,Sem Explicação,Calcinha Preta,224,Forró,20
19,Liga Pra Mim,Calcinha Preta,201,Forró,21
20,Como Vou Deixar Você?,Calcinha Preta,189,Forró,17
21,Vida Vazia,Desejo de Menina,211,Forró,3
22,A Praia,Mastruz Com Leite,229,Forró,35
23,Timidez,Cavalo de Pau,190,Forró,1998
24,Anjo Querubim,Limão com Mel,186,Forró,2000
25,Me Usa,Banda Magníficos,209,Forró,1996
26,Manchete dos Jornais,Calcinha Preta,240,Forró,12
27,Codinome Beija-Flor,Cazuza,151,MPB,1985
28,Boa Vida,Cazuza,186,MPB,1985
29,Exagerado,Cazuza,223,MPB,1985
30,Amiga Da Minha Mulher,Seu Jorge,248,MPB,2011
31,Mina Do Condomínio,Seu Jorge,401,MPB,2007
32,Azul Da Cor Do Mar,Tim Maia,198,MPB,1970
33,Tudo Outra Vez,Belchior,250,MPB,1979
